#;Worker;Wallet;tJOY;Comment;Comment_02DEC2022
1;alenleps;j4WV4DxM9JcEVAKa3PoBnJ4d3yv3eyeAM6pCZBXpP9BRN1akG;200,00;Debt from Carthage. HR worker;
2;Craci_BwareLabs;j4WUc3GorqN7WGKqQfYzoaWv7YW57pjvY6cCcxmGbc6qnvA3P;725,00;Debt from Carthage. Storage worker;
3;yyagi;j4RebjBfiGWUnBZiiHGwergmwfvU23iitYzkoXv37kbfnQpHv;5594,56;Debt from Rhodes. Works in Storage WG;
4;0x2bc;j4Sn44xz2n6daCrtdCUiHaLKSnQ5xoVDWYd5s3kY8hUpfEuVd;1953,64;Debt from Rhodes. Works in Storage WG;
5;l1dev;j4SWVha668Nv1YroUkQB68yzfSAjp5xJg4dsXCcKjXJSLwwoa;1243,22;Debt from Rhodes. Works in Storage WG;
6;razumv;j4VH2M4AbvbbGY77MJAfVrhxT9YyMpXdBhG1hyoiXYqe9EP4D;913,39;Debt from Rhodes. Works in Storage WG;
7;sieemma;j4WmED7zNC7QMeSEG2eP3Ud3FuFeJGUXk4rjjGqmzQ78MVM7p;913,39;Debt from Rhodes. Works in Storage WG;
8;abramaria_;j4U37F5qHeYU9U1agPUagcatdtycNd6gqTutk2tHaQ3RY2S3U;913,39;Debt from Rhodes. Works in Storage WG;
9;kalpakci;j4VDCh2Prfb7iAmQQ7dEpiKkiXKNuNspZMF5FnwYaH67fiq3C;646,98;Debt from Rhodes. Works in Storage WG;
10;goksel;j4SZJVC3FQ5BBQzWNoTbtpb6f5BJp3XVfivZx45poNn3X79tN;913,39;Debt from Rhodes. Works in Storage WG;
11;alexznet;j4T9eMtTVPERGrHob3CrwrYAhHrB8ienTMMNjhKejrPpyj8VJ;913,39;Debt from Rhodes. Works in Storage WG;
12;maxlevush;j4WE4Dkq3FjRCu5NbRsYk9GZhVJNRQyQsBa1VLVHzBEzv3p31;913,39;Debt from Rhodes. Works in Storage WG;
13;godshunter;j4RkMg5kF43bvUSmDtSgCEcVM1hdHbGy2sS9rEXRkGs5cwYVy;469,37;Debt from Rhodes. Works in Storage WG;
14;mmx1916;j4WfxEctUxVS93uacg9ikZ9jU7A99B8naatyXucePjadjykwu;913,39;Debt from Rhodes. Works in Storage WG;
15;Craci_BwareLabs;j4WUc3GorqN7WGKqQfYzoaWv7YW57pjvY6cCcxmGbc6qnvA3P;913,39;Debt from Rhodes. Works in Storage WG;
16;Secret_girl;j4SpVrtwButmZBiCmkHkx1nA3UjnU2dTtV3Zv3avLfPXeFx6e;887,41;Debt from Rhodes. Works in Forum WG;
17;Songoku;j4WdTZrmXFrJkpc78Cuh9MjKUfmzziPgLcpPNWHFaPSrm817P;532,45;Debt from Rhodes. Works in Forum WG;
18;advo;j4VovMvjYKbLPPEjNaxmW2aHKjAXVyMcWjkTvLPPeoWRAATow;177,48;Debt from Rhodes. Works in Forum WG;name corrected
19;Counsellor;j4RRRCqSaBWSUoRSnb1fJzc5tfqkuHv48JxAXDHVF74HseYgx;354,96;Debt from Rhodes. Works in Forum WG;
20;Black_fish;j4VMytMS4Hwopca2W6srBZCraYQzbeqxp9iUfdd41xHKmPGzb;354,96;Debt from Rhodes. Works in Forum WG;name corrected
21;lamma;j4SeZSVVcoYqbs2pJtYvUMAAc1Ef5VX8rmLN1cKfay3sbVVb1;88,74;Debt from Rhodes. Works in Forum WG;name corrected
22;ferdikesh_studio;j4Sx2uyEy67ToKqX29DhV34tGzVbqFXNWQxzSHMMPsmFUnrjh;1417,52;Debt from Rhodes. Works in Marketing WG;
23;jpaul;j4Uiq5cPMNSgdFMXwwj2CU7kX9W7M6asaw51S9879kucov4sQ;2121,65;Debt from Rhodes. Works in Marketing WG;
24;swargo;j4UQ1WMZQ7Fvs1UnFB19Q2p9V7w1c5JYNVaR8sV2fkhuY7zm5;1856,45;Debt from Rhodes. Works in Marketing WG;
25;leet_joy;j4U6QUxnCrhhbxaLyqXNq6VnVH1Bq5MBzo8wkjaPDsSzUZdbF;2121,65;Debt from Rhodes. Works in Marketing WG;
26;crptowolf;j4VGrpnBNwmMzdEpKbGrAEzSNh5cXnwahCCdx417bQWWqFXM4;2032,48;Debt from Rhodes. Works in Marketing WG;
27;kate_fm;j4RLiXMehTjxwfpqYU7hrLN1goWKkkvyokVdUXVPogQwiuK3H;2210,83;Debt from Rhodes. Works in Marketing WG;
28;arseniy2706;j4Rq8LqRSmCXgSa9zp1zBRTijZ8DBJ3WngD7u6sS1cX79zX7e;1510,95;Debt from Rhodes. Works in Content WG;
29;ferdikesh_studio;j4Sx2uyEy67ToKqX29DhV34tGzVbqFXNWQxzSHMMPsmFUnrjh;812,47;Debt from Rhodes. Works in Content WG;
30;Kira_skipper;j4UMWcP9EvsXEHQDtUK1nU3fKSuNTKSTEa9wEHGWJkhgSATQH;444,32;Debt from Rhodes. Works in Content WG;
