#,I use Joystream CLI ...,Other,Joystream CLI is useful for my,Other,Rate the complexity of Joystream CLI,"If Joystream CLI was available in your web browser, so you didn't have to install it on your laptop, how cool you think would that be for you?",Other,Do you use Javascript tool in Pioneer: https://pioneer.joystreamstats.live/#/js ?,Start Date (UTC),Submit Date (UTC),Network ID
1nwq0wlv0fqser1nwyo3taieeorjdpp7,Daily,,Work Group duties,,4,Awesome idea! Let's have it!,,0,2021-08-17 17:38:28,2021-08-17 17:41:49,3dfff5094a
u4y7jvzzbjczbu6f2dza5lpiau4y7jvz,,never,I don't use it at all,,3,Awesome idea! Let's have it!,,0,2021-08-17 12:41:23,2021-08-17 12:43:24,2662789bd4
qe6zwdquy0n6b6lnx8oqe6zwd77lh1f9,Once or twice every Council period (a week),,Council duties,,4,Awesome idea! Let's have it!,,1,2021-08-17 10:41:23,2021-08-17 10:41:55,f8e665d1af
aqph4j40bfueylolxsraqphczajd8bsh,Few times a week,,Work Group duties,,3,Dunno. I think it would not make much difference for me.,,1,2021-08-17 10:14:33,2021-08-17 10:15:08,6c33739b84
wwuw75vt7vyopyeckwwuw7am4sa4fnyp,,i dont use it,I don't use it at all,,1,Awesome idea! Let's have it!,,0,2021-08-17 09:49:00,2021-08-17 09:50:29,842a6e04c2
guion15mjx2rwscb5hkwrguion15m976,Few times a week,,Reporting and statistics gathering,,4,Awesome idea! Let's have it!,,1,2021-08-17 09:17:56,2021-08-17 09:18:42,5acd5d0d50
qxy6xz0xqv77kpsgqxy6xz0m5hnuarqm,Once or twice every Council period (a week),,Work Group duties,,4,Awesome idea! Let's have it!,,0,2021-08-17 08:47:32,2021-08-17 08:48:40,f15e931c43
3omv843y7el2lfukw3omv8lvmgd70vdw,,Never,I don't use it at all,,5,Awesome idea! Let's have it!,,0,2021-08-17 08:46:40,2021-08-17 08:48:04,30d6a05313
j8prrhtkfaj8prrlh488avzsq8a3h9hc,Once or twice every Council period (a week),,Work Group duties,,4,Awesome idea! Let's have it!,,0,2021-08-17 08:37:53,2021-08-17 08:41:22,8a50289f96
omujgq4xrkpwqtd7j5z7e0omujgq4xo3,Once or twice every FM reporting period (two weeks),,Research,,2,Awesome idea! Let's have it!,,0,2021-08-17 08:28:04,2021-08-17 08:34:54,c5aa3aedad
