Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,Reimbursed
Alexandria,32,Telegram Bot Update,Approved,5000000,5000000,,,Bounties,1,
Alexandria,48,Community Bounty #1 (II),Approved,1107900,1107900,,,Bounties,1,
Alexandria,49,Community Bounty #3,Approved,2564600,2564600,,,Bounties,3,
Alexandria,53,Community Bounty #3 (II),Approved,2018000,2018000,,,Bounties,3,
Alexandria,69,Community Bounty 05 - Telegram Stickers,Approved,2096400,2096400,,,Bounties,5,
Alexandria,84,Joystream's first telegram sticker.!!,Approved,300000,300000,,,Bounties,5,
Alexandria,87,Community Bounty #2,Approved,4553700,4553700,,,Bounties,2,
Alexandria,95,New Joystream Telegram Sticker,Approved,500000,500000,,,Bounties,5,
Alexandria,99,New Joystream Telegram Sticker,Expired,500000,0,,,Bounties,5,
Alexandria,108,Telegram Sticker Competition Submission,Approved,1000000,1000000,,,Bounties,5,
Alexandria,109,Telegram Competition Sticker,Approved,568120,568120,,,Bounties,5,
Alexandria,116,Community Bounty #6,Approved,4670700,4670700,,,Bounties,6,
Alexandria,138,Greeting telegram sticker,Approved,550000,550000,,,Bounties,5,
Alexandria,139,Telegram stickers,Approved,550000,550000,,,Bounties,5,
Alexandria,143,Stickers,Approved,25000,25000,,,Bounties,5,
Alexandria,145,Stickers Pack FunJoystream,Approved,550000,550000,,,Bounties,5,
Alexandria,146,Telegram stickers,Expired,550000,0,,,Bounties,5,
Alexandria,152,Stickers Pack FunJoystream,Approved,550000,550000,,,Bounties,5,
Alexandria,154,Banner (Community Repo),Approved,250000,250000,,,Bounties,11,
Alexandria,160,Community Bounty #11 — #CheOmsk upd.,Canceled,2288300,0,,,Bounties,11,
Alexandria,161,Banner (Community Repo) Update*,Canceled,2000000,0,,,Bounties,11,
Alexandria,178,Exclusive stickers for telegram,Expired,550000,0,,,Bounties,11,
Alexandria,193,Bounty #12: Deploy Reliable Endpoints,Expired,4724700,0,,,Bounties,12,
Alexandria,196,Stickers,Approved,550000,550000,,,Bounties,11,
Alexandria,200,Application for the sticker contest,Approved,608272,608272,,,Bounties,11,
Alexandria,204,Bounty 9 - Payout A,Approved,972568,972568,,,Bounties,9,
Alexandria,208,Bounty #13: Example Discord Bot,Canceled,5000000,0,,,Bounties,13,
Alexandria,209,Re:Bounty #12: Deploy Reliable Endpoints,Approved,5000000,5000000,,,Bounties,12,
Alexandria,213,Community Repo Banner Competition Prop,Approved,1500000,1500000,,,Bounties,11,
Alexandria,157,Cooking with the Joystream,Approved,500000,500000,,,Community Rewards,,
Alexandria,166,Made a drawing in the style of joystream,Canceled,500000,0,,,Community Rewards,,
Alexandria,176,New creative promotion act for Joystream,Expired,200000,0,,,Community Rewards,,
Alexandria,201,Draw Joystream,Expired,450000,0,,,Community Rewards,,
Alexandria,202,Joy stream flight to the moon),Expired,200000,0,,,Community Rewards,,
Alexandria,216,Stickers in the Telegram Joystream,Approved,25000,25000,,,Community Rewards,,
Alexandria,3,KPI 01.3 - Appoint new council secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,20,KPI 02.3 - Appoint new council secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,31,KPI 03.3 - Appoint New Council Secretary,Approved,2250000,2250000,,,Informal Roles,,
Alexandria,47,KPI 4.3 - Appoint New Council Secretary,Approved,1000000,1000000,,,Informal Roles,,
Alexandria,50,KPI 05.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,64,KPI 06.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,77,KPI 07.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,97,Appoint New Council Secretary,Execution Failed,2000000,0,,,Informal Roles,,
Alexandria,115,KPI 9.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,120,KPI 10.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,136,KPI 11.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,187,KPI 12.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,
Alexandria,214,Hire for informal role: Bounty 10 Admin,Approved,528846,528846,,,Informal Roles,,
Alexandria,215,KPI 13.3 - Appoint New Council Secretary,Approved,3000000,3000000,,,Informal Roles,,
Alexandria,188,KPI 11.4 - Late Report,Approved,4650000,4650000,,,KPI,,
Alexandria,194,FM launch questionnaire - KPI 12.4,Canceled,4811100,0,,,KPI,,
Alexandria,195,KPI 12.4 - FM launch questionnaire,Approved,1250000,1250000,,,KPI,,
Alexandria,170,"Bounty - "" Articles on Wikipedia""",Expired,3404200,0,,,Marketing,,
Alexandria,175,Positive video of the future joystream,Expired,1000000,0,,,Marketing,,
Alexandria,104,Upload 15 Live Action post-1980 movies,Approved,150000,150000,,,Media,,
Alexandria,117,Upload 90 Movies,Approved,1000000,1000000,,,Media,,
Alexandria,169,Move my youtube channel to Joystream.,Approved,125000,125000,,,Media,,
Alexandria,16,Alexandria - Council 01 report,Approved,1000000,1000000,,,Reports,,
Alexandria,17,Council 01 - Tokenomics Report,Approved,400000,400000,,,Reports,,
Alexandria,29,Council 02 - Tokenomics Report,Approved,400000,400000,,,Reports,,
Alexandria,30,Council #2 report,Approved,500000,500000,,,Reports,,
Alexandria,43,Council Report 3,Approved,500000,500000,,,Reports,,
Alexandria,44,Council 03 - Tokenomics Report,Execution Failed,385000,0,,,Reports,,
Alexandria,45,Council 03 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,51,Council 04 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,52,Council Report 4,Approved,500000,500000,,,Reports,,
Alexandria,65,Council 5 Report,Approved,500000,500000,,,Reports,,
Alexandria,66,Council 05 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,79,KPI 06.2 - Council Report,Approved,500000,500000,,,Reports,,
Alexandria,81,Council 06 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,94,Alexandria Council 7 Report,Approved,500000,500000,,,Reports,,
Alexandria,106,KPI 8.1 - Council 01 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,107,Babylon Council 1 Report,Approved,500000,500000,,,Reports,,
Alexandria,121,KPI 9.2 - Council 02 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,122,KPI 9.2 - Babylon Council 2 Report,Approved,500000,500000,,,Reports,,
Alexandria,137,KPI 10.2 - Council 3 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,142,KPI 10.2 - Council 10 Report,Approved,500000,500000,,,Reports,,
Alexandria,179,KPI 11.2 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,180,KPI 11.2 - Council Report,Approved,750000,750000,,,Reports,,
Alexandria,207,KPI 12.2 - Tokenomics Report,Approved,385000,385000,,,Reports,,
Alexandria,211,KPI 12.2 - Council Report,Approved,600000,600000,,,Reports,,
Alexandria,15,Council Report Generator (Tokenomics),Approved,2000000,2000000,,,Tools,,
Alexandria,62,Council Reports + Stats Website (1),Expired,,,,,Tools,,
Alexandria,63,Council Reports + Stats Website (2),Expired,,,,,Tools,,
Alexandria,71,JoystreamStats.live,Approved,5000000,5000000,,,Tools,,
Alexandria,83,JoystreamStats.live (Part II+III),Approved,5000000,5000000,,,Tools,,
Alexandria,101,Improvements for Stats Website,Approved,5000000,5000000,,,Tools,,
Alexandria,113,Refund: Improvements for Stats Website,Approved,5000000,5000000,,,Tools,,
Alexandria,132,JoystreamStats development (weeks 4-6),Expired,5000000,0,,,Tools,,
Alexandria,155,JoystreamStats development (weeks 4-6),Approved,5000000,5000000,,,Tools,,
Alexandria,159,Telegram bot faucet,Approved,2000000,2000000,,,Tools,,
Alexandria,171,node status widget,Approved,500000,500000,,,Tools,,
Alexandria,172,Script for installing node,Approved,500000,500000,,,Tools,,
Alexandria,174,JoystreamStats development (week 7/21),Approved,5000000,5000000,,,Tools,,
Alexandria,181,JoystreamStats APIv1 (weeks 8+9/21),Execution Failed,5000000,0,,,Tools,,
Alexandria,197,Re: JoystreamStats APIv1 (weeks 8+9/21),Approved,5000000,5000000,,,Tools,,
Alexandria,199,Faucet bot was updated,Approved,700000,700000,,,Tools,,
Alexandria,218,media.joystreamstats.live,Approved,5000000,5000000,,,Tools,,
Alexandria,156,updating RuTranslation joy-* modules,Approved,30000,30000,,,Translation,,
Alexandria,163,Creating RUS guides on reporting,Approved,75000,75000,,,Translation,,
Alexandria,165,Whitepaper in RUS + on Medium,Execution Failed,550000,0,,,Translation,,
Alexandria,167,updating RuTranslation page-* modules,Approved,250000,250000,,,Translation,,
Alexandria,177,RUS guides and tutorials about Joystream,Approved,700000,700000,,,Translation,,
Alexandria,19,Gaming videos,Approved,100000,100000,,,Videos,,
Alexandria,118,Refund for missed payments,Approved,310500,310500,,,WG Missed Payments,,
Alexandria,198,Request for refund of missed payments,Approved,516950,516950,,,WG Missed Payments,,
Alexandria,1,,,,,,,,,
Alexandria,2,KPI 01.3 - Appoint new council secretary,Canceled,2000000,0,,,,,
Alexandria,4,,,,,,,,,
Alexandria,5,,,,,,,,,
Alexandria,6,,,,,,,,,
Alexandria,7,,,,,,,,,
Alexandria,8,,,,,,,,,
Alexandria,9,,,,,,,,,
Alexandria,10,,,,,,,,,
Alexandria,11,,,,,,,,,
Alexandria,12,,,,,,,,,
Alexandria,13,,,,,,,,,
Alexandria,14,,,,,,,,,
Alexandria,18,,,,,,,,,
Alexandria,21,,,,,,,,,
Alexandria,22,,,,,,,,,
Alexandria,23,,,,,,,,,
Alexandria,24,,,,,,,,,
Alexandria,25,,,,,,,,,
Alexandria,26,,,,,,,,,
Alexandria,27,,,,,,,,,
Alexandria,28,,,,,,,,,
Alexandria,33,,,,,,,,,
Alexandria,34,,,,,,,,,
Alexandria,35,,,,,,,,,
Alexandria,36,,,,,,,,,
Alexandria,37,,,,,,,,,
Alexandria,38,,,,,,,,,
Alexandria,39,,,,,,,,,
Alexandria,40,,,,,,,,,
Alexandria,41,,,,,,,,,
Alexandria,42,,,,,,,,,
Alexandria,46,,,,,,,,,
Alexandria,54,,,,,,,,,
Alexandria,55,,,,,,,,,
Alexandria,56,,,,,,,,,
Alexandria,57,,,,,,,,,
Alexandria,58,,,,,,,,,
Alexandria,59,,,,,,,,,
Alexandria,60,,,,,,,,,
Alexandria,61,,,,,,,,,
Alexandria,67,,,,,,,,,
Alexandria,68,,,,,,,,,
Alexandria,70,,,,,,,,,
Alexandria,72,,,,,,,,,
Alexandria,73,,,,,,,,,
Alexandria,74,,,,,,,,,
Alexandria,75,,,,,,,,,
Alexandria,76,,,,,,,,,
Alexandria,78,,,,,,,,,
Alexandria,80,,,,,,,,,
