Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,WG,Reimbursed
Alexandria,1,,,,,,,,,,
Antioch,1,,,,,,,,,,
Alexandria,2,KPI 01.3 - Appoint new council secretary,Canceled,2000000,0,,,,,,
Antioch,2,,,,,,,,,,
Alexandria,3,KPI 01.3 - Appoint new council secretary,Approved,2000000,2000000,,,Informal Roles,,,
Antioch,3,,,,,,,,,,
Alexandria,4,,,,,,,,,,
Antioch,4,,,,,,,,,,
Alexandria,5,,,,,,,,,,
Antioch,5,,,,,,,,,,
Antioch,6,Resub: Com Repo Banner Competition Prop,Approved,1500000,1500000,,,Competitions,,,
Alexandria,6,,,,,,,,,,
Antioch,7,Antioch - KPI 0.2 - Council Secretary,Approved,1500000,1500000,,,Informal Roles,,,
Alexandria,7,,,,,,,,,,
Antioch,8,Resub: Hire for role: Bounty 10 Admin,Approved,540000,540000,,,Bounty Managers,,,
Alexandria,8,,,,,,,,,,
Antioch,9,Success Event 1 for Bounty 13,Approved,2440000,2440000,,,Bounties,13,,Y
Alexandria,9,,,,,,,,,,
Antioch,10,Bounty #12: Endpoints April/2021,Expired,5000000,0,,,Bounties,12,,Y
Alexandria,10,,,,,,,,,,
Alexandria,11,,,,,,,,,,
Antioch,11,,,,,,,,,,
Alexandria,12,,,,,,,,,,
Antioch,12,,,,,,,,,,
Alexandria,13,,,,,,,,,,
Antioch,13,,,,,,,,,,
Antioch,14,Forum Rewards Funding,Expired,3000000,0,,,Rewards,,,
Alexandria,14,,,,,,,,,,
Alexandria,15,Council Report Generator (Tokenomics),Approved,2000000,2000000,,,Tools,,,
Antioch,15,,,,,,,,,,
Antioch,16,Bounty #12: Endpoints April/2021,Approved,5000000,5000000,,,Bounties,12,,Y
Alexandria,16,Alexandria - Council 01 report,Approved,1000000,1000000,,,Reports,,,
Alexandria,17,Council 01 - Tokenomics Report,Approved,400000,400000,,,Reports,,,
Antioch,17,,,,,,,,,,
Alexandria,18,,,,,,,,,,
Antioch,18,,,,,,,,,,
Antioch,19,KPI 00.1 - Tokenomics Report,Approved,390000,390000,,,KPI,,,
Alexandria,19,Gaming videos,Approved,100000,100000,,,Videos,,,
Alexandria,20,KPI 02.3 - Appoint new council secretary,Approved,2000000,2000000,,,Informal Roles,,,
Antioch,20,,,,,,,,,,
Antioch,21,Antioch KPI 1.7,Cancelled,1800000,0,,,KPI,,,
Alexandria,21,,,,,,,,,,
Alexandria,22,,,,,,,,,,
Antioch,22,,,,,,,,,,
Antioch,23,Resub: Forum Rewards funding,Approved,3000000,3000000,,,Rewards,,,
Alexandria,23,,,,,,,,,,
Alexandria,24,,,,,,,,,,
Antioch,24,,,,,,,,,,
Alexandria,25,,,,,,,,,,
Antioch,25,,,,,,,,,,
Alexandria,26,,,,,,,,,,
Antioch,26,,,,,,,,,,
Antioch,27,Bounty #13: Example Discord Bot,Approved,2500000,2500000,,,Bounties,13,,Y
Alexandria,27,,,,,,,,,,
Alexandria,28,,,,,,,,,,
Antioch,28,,,,,,,,,,
Alexandria,29,Council 02 - Tokenomics Report,Approved,400000,400000,,,Reports,,,
Antioch,29,,,,,,,,,,
Alexandria,30,Council #2 report,Approved,500000,500000,,,Reports,,,
Antioch,30,,,,,,,,,,
Alexandria,31,KPI 03.3 - Appoint New Council Secretary,Approved,2250000,2250000,,,Informal Roles,,,
Antioch,31,,,,,,,,,,
Alexandria,32,Telegram Bot Update,Approved,5000000,5000000,,,Bounties,1,,Y
Antioch,32,,,,,,,,,,
Alexandria,33,,,,,,,,,,
Antioch,33,,,,,,,,,,
Antioch,34,Bounty 14: Submission 1,Approved,1290000,1290000,,,Bounties,14,,Y
Alexandria,34,,,,,,,,,,
Antioch,35,Bounty 14: Submission 2,Approved,1300000,1300000,,,Bounties,14,,Y
Alexandria,35,,,,,,,,,,
Alexandria,36,,,,,,,,,,
Antioch,36,,,,,,,,,,
Antioch,37,Bounty 14: Submissions 3-7,Approved,4270000,4270000,,,Bounties,14,,Y
Alexandria,37,,,,,,,,,,
Alexandria,38,,,,,,,,,,
Antioch,38,,,,,,,,,,
Alexandria,39,,,,,,,,,,
Antioch,39,,,,,,,,,,
Antioch,40,Bounty 14: Submission 8-13,Approved,3490000,3490000,,,Bounties,14,,Y
Alexandria,40,,,,,,,,,,
Antioch,41,Bounty 14: Submission 14,Approved,250000,250000,,,Bounties,14,,Y
Alexandria,41,,,,,,,,,,
Alexandria,42,,,,,,,,,,
Antioch,42,,,,,,,,,,
Alexandria,43,Council Report 3,Approved,500000,500000,,,Reports,,,
Antioch,43,,,,,,,,,,
Alexandria,44,Council 03 - Tokenomics Report,Execution Failed,385000,0,,,Reports,,,
Antioch,44,,,,,,,,,,
Alexandria,45,Council 03 - Tokenomics Report,Approved,385000,385000,,,Reports,,,
Antioch,45,,,,,,,,,,
Alexandria,46,,,,,,,,,,
Antioch,46,,,,,,,,,,
Alexandria,47,KPI 4.3 - Appoint New Council Secretary,Approved,1000000,1000000,,,Informal Roles,,,
Antioch,47,,,,,,,,,,
Alexandria,48,Community Bounty #1 (II),Approved,1107900,1107900,,,Bounties,1,,Y
Antioch,48,,,,,,,,,,
Alexandria,49,Community Bounty #3,Approved,2564600,2564600,,,Bounties,3,,Y
Antioch,49,,,,,,,,,,
Antioch,50,Bounty 10 solution,Approved,5830000,5830000,,,Bounties,10,,Y
Alexandria,50,KPI 05.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,,
