Number;Content Curator;Type;ID entities;Owner entities;Act;Warn (link);Date;Time (optional);Reason or other comments;Network;Sum
3536;Skipper;Video\10;https://play.joystream.org/video/3189;Tourism 2;Accepted;;19.07.21;;;;1
3537;Skipper;Video\10;https://play.joystream.org/video/3187;Tourism 2;Accepted;;19.07.21;;;;1
3538;Skipper;Video\10;https://play.joystream.org/video/3185;Flakes;Accepted;;19.07.21;;;;1
3539;Skipper;Video\10;https://play.joystream.org/video/3188;Автобот;Accepted;;19.07.21;;;;1
3540;Skipper;Video\10;https://play.joystream.org/video/3192;Автобот;Accepted;;19.07.21;;;;1
3541;Skipper;Video\10;https://play.joystream.org/video/3193;Flakes;Accepted;;19.07.21;;;;1
3542;Skipper;Video\10;https://play.joystream.org/video/3195;Kay Lee;Warn;;19.07.21;;The media could not be loaded, either because the server or network failed or because the format is not supported.;;1
3543;Skipper;Video\10;https://play.joystream.org/video/3197;Kay Lee;Warn;;19.07.21;;The media could not be loaded, either because the server or network failed or because the format is not supported.;;1
3544;Skipper;Video\10;https://play.joystream.org/video/3196;Автобот;Accepted;;19.07.21;;;;1
3545;Skipper;Video\10;https://play.joystream.org/video/3198;Kay Lee;Accepted;;19.07.21;;;;1
3546;Skipper;Video\10;https://play.joystream.org/video/3199;Автобот;Accepted;;19.07.21;;;;1
3547;Skipper;Video\10;https://play.joystream.org/video/3194;Flakes;Accepted;;19.07.21;;;;1
3548;Skipper;Video\10;https://play.joystream.org/video/3191;Tourism 2;Accepted;;19.07.21;;;;1
3549;Skipper;Video\10;https://play.joystream.org/video/3204;Tourism 2;Accepted;;19.07.21;;;;1
3550;Skipper;Video\10;https://play.joystream.org/video/3206;Kay Lee;Accepted;;19.07.21;;;;1
3551;Skipper;Video\10;https://play.joystream.org/video/3213;Kay Lee;Accepted;;19.07.21;;;;1
3552;Skipper;Video\10;https://play.joystream.org/video/3208;Kay Lee;Warn;;19.07.21;;The media could not be loaded, either because the server or network failed or because the format is not supported.;;1
3553;Skipper;Video\10;https://play.joystream.org/video/3211;Flakes;Accepted;;19.07.21;;;;1
3554;Skipper;Video\10;https://play.joystream.org/video/3207;Kay Lee;Accepted;;19.07.21;;;;1
3555;Skipper;Video\10;https://play.joystream.org/video/3212;Kay Lee;Warn;;19.07.21;;The media could not be loaded, either because the server or network failed or because the format is not supported.;;1
3556;Skipper;Video\10;https://play.joystream.org/video/3209;Flakes;Accepted;;19.07.21;;;;1
3557;Skipper;Video\10;https://play.joystream.org/video/3210;Автобот;Accepted;;19.07.21;;;;1
3558;Skipper;Video\10;https://play.joystream.org/video/3214;Kay Lee;Accepted;;19.07.21;;;;1
