Number;Content Curator;Type;ID entities;Owner entities;Act;Warn;Date;Time (optional);Reason or other comments;Network
496;IgreX;Video\10;https://play.joystream.org/video/3152;3142;Censored;;24.05.2021;;;Old
497;IgreX;Video\10;https://play.joystream.org/video/3049;0;Warn;;24.05.2021;;;Old
498;Meskalin;Video\10;https://play.joystream.org/video/3278;2291;Accepted;;24.05.2021;;;Old
499;Meskalin;Video\10;https://play.joystream.org/video/3273;2291;Accepted;;24.05.2021;;;Old
500;Meskalin;Video\10;https://play.joystream.org/video/3268;2291;Accepted;;24.05.2021;;;Old
501;Meskalin;Video\10;https://play.joystream.org/video/3263;2291;Accepted;;24.05.2021;;;Old
502;Meskalin;Video\10;https://play.joystream.org/video/3258;2291;Accepted;;24.05.2021;;;Old
503;Meskalin;Video\10;https://play.joystream.org/video/3253;2291;Accepted;https://testnet.joystream.org/#/forum/threads/329?page=5&replyIdx=44;26.05.2021;;Thumbnail not showing;Old
504;Meskalin;Video\10;https://play.joystream.org/video/3248;2291;Accepted;;24.05.2021;;;Old
505;Meskalin;Video\10;https://play.joystream.org/video/3243;2291;Accepted;;24.05.2021;;;Old
506;Meskalin;Video\10;https://play.joystream.org/video/3238;2291;Accepted;;24.05.2021;;;Old
507;Meskalin;Video\10;https://play.joystream.org/video/3233;3223;Warn;https://testnet.joystream.org/#/forum/threads/329?page=5&replyIdx=44;24.05.2021;;Thumbnail not showing;Old
508;Meskalin;Video\10;https://play.joystream.org/video/3228;2291;Accepted;;24.05.2021;;;Old
509;Meskalin;Video\10;https://play.joystream.org/video/3222;2291;Accepted;;24.05.2021;;;Old
510;Meskalin;Video\10;https://play.joystream.org/video/3217;2291;Accepted;;24.05.2021;;;Old
511;Meskalin;Video\10;https://play.joystream.org/video/3212;2291;Accepted;;24.05.2021;;;Old
512;Meskalin;Video\10;https://play.joystream.org/video/3207;2291;Accepted;;24.05.2021;;;Old
513;Meskalin;Video\10;https://play.joystream.org/video/3202;2291;Accepted;;24.05.2021;;;Old
514;Meskalin;Video\10;https://play.joystream.org/video/3197;2291;Accepted;;24.05.2021;;;Old
515;Meskalin;Video\10;https://play.joystream.org/video/3192;2291;Accepted;;24.05.2021;;;Old
516;Meskalin;Video\10;https://play.joystream.org/video/3187;2291;Accepted;;24.05.2021;;;Old
517;Meskalin;Video\10;https://play.joystream.org/video/3182;2291;Accepted;;24.05.2021;;;Old
518;Meskalin;Video\10;https://play.joystream.org/video/3172;2291;Accepted;;24.05.2021;;;Old
519;Meskalin;Video\10;https://play.joystream.org/video/3167;2291;Accepted;;24.05.2021;;;Old
520;Meskalin;Video\10;https://play.joystream.org/video/3162;2291;Accepted;;24.05.2021;;;Old
521;Meskalin;Video\10;https://play.joystream.org/video/3157;2291;Accepted;;24.05.2021;;;Old
